阿胶	e'jiao
强阳保肾丸	qiang'yang'bao'shen'wan
秦皮	qin'pi
秦艽	qin'jiao
青娥丸	qing'e'wan
青风藤	qing'feng'teng
青果	qing'guo
青果丸	qing'guo'wan
青皮	qing'pi
青叶胆	qing'ye'dan
青叶胆片	qing'ye'dan'pian
青葙子	qing'xiang'zi
青蒿	qing'hao
青礞石	qing'meng'shi
青黛	qing'dai
轻粉	qing'fen
清肺消炎丸	qing'fei'xiao'yan'wan
清肺抑火丸	qing'fei'yi'huo'wan
清喉利咽颗粒	qing'hou'li'yan'ke'li
清喉咽合剂	qing'hou'yan'he'ji
清火栀麦片	qing'huo'zhi'mai'pian
清开灵口服液	qing'kai'ling'kou'fu'ye
清开灵注射液	qing'kai'ling'zhu'she'ye
清淋颗粒	qing'lin'ke'li
清脑降压片	qing'nao'jiang'ya'pian
清宁丸	qing'ning'wan
清气化痰丸	qing'qi'hua'tan'wan
清热解毒口服液	qing're'jie'du'kou'fu'ye
清胃黄连丸	qing'wei'huang'lian'wan
清瘟解毒丸	qing'wen'jie'du'wan
清眩丸	qing'xuan'wan
清咽丸	qing'yan'wan
清音丸	qing'yin'wan
去氧胆酸	qu'yang'dan'suan
全天麻胶囊	quan'tian'ma'jiao'nang
全蝎	quan'xie
拳参	quan'shen
热炎宁颗粒	re'yan'ning'ke'li
仁青常觉	ren'qing'chang'jue
仁青芒觉	ren'qing'mang'jue
人参	ren'shen
人参健脾丸	ren'shen'jian'pi'wan
人参养荣丸	ren'shen'yang'rong'wan
人参叶	ren'shen'ye
人参再造丸	ren'shen'zai'zao'wan
人工牛黄	reng'ong'niu'huang
忍冬藤	ren'dong'teng
肉豆蔻	rou'dou'kou
肉桂	rou'gui
肉桂油	rou'gui'you
肉苁蓉	rou'cong'rong
如意金黄散	ru'yi'jin'huang'san
乳疾灵颗粒	ru'ji'ling'ke'li
乳块消片	ru'kuai'xiao'pian
乳癖消片	ru'pi'xiao'pian
三白草	san'bai'cao
三宝胶囊	san'bao'jiao'nang
三黄片	san'huang'pian
三金片	san'jin'pian
三棱	san'leng
三两半药酒	san'liang'ban'yao'jiu
三妙丸	san'miao'wan
三七	san'qi
三七片	san'qi'pian
三七伤药片	san'qi'shang'yao'pian
三七叶总皂苷	san'qi'ye'zong'zao'gan
三味蒺藜散	san'wei'ji'li'san
三子散	san'zi'san
桑白皮	sang'bai'pi
桑寄生	sang'ji'sheng
桑菊感冒片	sang'ju'gan'mao'pian
桑叶	sang'ye
桑枝	sang'zhi
桑椹	sang'shen
桑螵蛸	sang'piao'xiao
砂仁	sha'ren
沙棘	sha'ji
沙苑子	sha'yuan'zi
山慈菇	shan'ci'gu
山豆根	shan'dou'gen
山菊降压片	shan'ju'jiang'ya'pian
山楂降压片	shan'zha'jiang'ya'pian
山麦冬	shan'mai'dong
山药	shan'yao
山银花	shan'yin'hua
山茱萸	shan'zhu'yu
山柰	shan'nai
山楂	shan'zha
山楂化滞丸	shan'zha'hua'zhi'wan
山楂叶	shan'zha'ye
山楂叶提取物	san'zha'ye'ti'qu'wu
伤湿止痛膏	shan'shi'zhi'tong'gao
伤痛宁片	shang'tong'ning'pian
商陆	shang'lu
烧伤灵酊	shao'shang'ling'ding
少腹逐瘀丸	shao'fu'zhu'yu'wan
少林风湿跌打膏	shao'lin'feng'shi'die'da'gao
蛇床子	she'chuang'zi
蛇胆陈皮散	she'dan'chen'pi'san
蛇胆川贝散	she'dan'chuan'bei'san
蛇蜕	she'tui
射干	she'gan
伸筋草	shen'jin'cao
生姜	sheng'jiang
生脉饮	sheng'mai'yin
生血丸	sheng'xue'wan
升麻	sheng'ma
十滴水	shi'di'shui
十滴水软胶囊	shi'di'shui'ruan'jiao'nang
十二味翼首散	shi'er'wei'yi'shou'san
十六味冬青丸	shi'liu'wei'dong'qing'wan
十全大补丸	shi'quan'da'bu'wan
十三味榜嘎散	shi'san'wei'bang'ga'san
十五味沉香丸	shi'wu'wei'chen'xiang'wan
十香返生丸	shi'xiang'fan'sheng'wan
十香止痛丸	shi'xiang'zhi'tong'wan
十一味能消丸	shi'yi'wei'neng'xiao'wan
石膏	shi'gao
石决明	shi'jue'ming
石淋通片	shi'lin'tong'pian
石榴皮	shi'liu'pi
石韦	shi'wei
石菖蒲	shi'chang'pu
石斛	shi'hu
石斛夜光丸	shi'hu'ye'guang'wan
使君子	shi'jun'zi
柿蒂	shi'di
首乌藤	shou'wu'teng
首乌丸	shou'wu'wan
舒肝和胃丸	shu'gan'he'wei'wan
舒肝丸	shu'gan'wan
舒筋活络酒	shu'jin'huo'luo'jiu
舒筋丸	shu'jin'wan
舒心口服液	shu'xin'kou'fu'ye
舒胸片	shu'xiong'pian
疏风定痛丸	shu'feng'ding'tong'wan
熟地黄	shu'di'huang
暑症片	shu'zheng'pian
双黄连颗粒	shuang'huang'lian'ke'li
双黄连口服液	shuang'huang'lian'kou'fu'ye
双黄连片	shuang'huang'lian'pian
双黄连栓	shuang'huang'lian'shuan
小儿消炎栓	xiao'er'xiao'yan'shuan
水飞蓟	shui'fei'ji
水红花子	shui'hong'hua'zi
水牛角	shui'niu'jiao
水牛角浓缩粉	shui'niu'jiao'nong'suo'fen
水蛭	shui'zhi
丝瓜络	si'gua'luo
四君子丸	si'jun'zi'wan
四逆汤	si'ni'tang
四神丸	si'shen'wan
四味土木香散	si'wei'tu'mu'xiang'san
四味珍层冰硼滴眼液	si'wei'zhen'ceng'bing'peng'di'yan'ye
珍视明滴眼液	zhen'shi'ming'di'yan'ye
四物合剂	si'wu'he'ji
四正丸	si'zheng'wan
松花粉	song'hua'fen
松节油	song'jie'you
松龄血脉康胶囊	song'ling'xue'mai'kang'jiao'nang
苏合香	su'he'xiang
苏合香丸	su'he'xiang'wan
